product_id,customer_id,full_name,created_time,rating,content
10119100,trang,trang,09:27 | 08/05/2021,5,
10119100,NguyenCatTuong,Nguyễn Cát Tường,20:22 | 21/12/2018,4,Shop phục vụ khá tốt.
10119100,VuPhuong,Vũ Phương,15:00 | 10/12/2018,3,Sản phẩm gần giống mô tả
10119490,hoangthisuong,hoàng thị sương,22:43 | 06/03/2022,5,
10119490,DAITRANG,ĐÀI TRANG,12:22 | 02/12/2021,5,
10119490,lienla,liên la,16:43 | 06/02/2021,5,Giao hàng nhanh bất ngờ.
10119490,DoanHanh,Đoàn Hạnh,22:06 | 19/07/2020,4,Sản phẩm/dịch vụ giống mô tả.
10119490,Phamthuhoai,Phạm thu hoài,11:57 | 26/08/2019,5,"Sản phẩm/dịch vụ giống mô tả và tốt hơn mong đợi. Chất lượng sản phẩm/dịch vụ rất tốt. Gửi sản phẩm/vé dịch vụ nhanh. Shop tư vấn, hướng dẫn cực kỳ nhiệt tình."
10119490,BuiKhai,Bui Khai,19:34 | 13/12/2018,5,"Shop tư vấn, hướng dẫn cực kỳ nhiệt tình."
10119490,TuyetAnh,Tuyết Ánh,21:12 | 03/12/2018,4,
10119490,ngocdung,ngọc dung,15:42 | 06/11/2018,5,Sản phẩm tốt vượt mong đợi
10119490,TuyetAnh,Tuyết Ánh,21:41 | 04/11/2018,4,Sản phẩm đúng mô tả
10119490,ZinVan,Zin Vân,15:54 | 21/10/2018,5,Hài lòng
10119525,Nga,Nga,18:32 | 05/08/2019,5,sản phẩm giao hàng nhanh chóng. đóng gói chưa đc kĩ. giá cả tốt. sẽ ủng hộ lần sau
10119525,Danhgiaandanh,Đánh giá ẩn danh,19:36 | 15/11/2021,5,"Chuyên nghiệp, thân thiện. Đóng gói kỹ lưỡng. Chất lượng tuyệt vời. Giá tốt. Giao hàng nhanh bất ngờ."
10119525,Trang,Trang,10:56 | 20/01/2021,5,
10119525,MaiLamDieu,Mai Lâm Điều,17:13 | 27/05/2020,5,Sản phẩm/dịch vụ giống mô tả và tốt hơn mong đợi.
10119525,thanhnguyenthanhnguyen,thanhnguyen thanhnguyen,08:13 | 24/10/2019,4,
10119525,MinhLy,Minh Lý,20:36 | 03/10/2018,5,Sản phẩm tốt vượt mong đợi
10119525,vanluxubu,van lu xu bu,14:12 | 18/09/2018,5,Sản phẩm tốt vượt mong đợi
10119525,MyLe,My Lê,20:27 | 12/09/2018,4,Sản phẩm đúng mô tả
10119525,TruongThiHoa,Trương Thị Hoa,06:44 | 16/08/2018,5,Sản phẩm tốt vượt mong đợi
10311174,TranthiDo,Trần thị Đỗ,15:32 | 19/10/2020,5,Chất lượng tuyệt vời.
10311174,DoHien,Đỗ Hiền,14:57 | 20/12/2018,5,
10311174,LehaiQuyen,Lê hải Quyên,06:55 | 17/10/2018,5,Sản phẩm tốt vượt mong đợi
10313095,DucLe,Duc Le,11:49 | 16/05/2019,5,Sản phẩm/dịch vụ giống mô tả và tốt hơn mong đợi. Chất lượng sản phẩm/dịch vụ rất tốt. Gửi sản phẩm/vé dịch vụ nhanh. lưu ý giờ giao hàng khi khách hàng yêu cầu!
10313095,ThuyPham,Thuỷ Phạm,22:50 | 22/02/2019,5,"Sản phẩm/dịch vụ giống mô tả và tốt hơn mong đợi. Chất lượng sản phẩm/dịch vụ rất tốt. Gửi sản phẩm/vé dịch vụ nhanh. Shop tư vấn, hướng dẫn cực kỳ nhiệt tình."
10313095,DucLe,Duc Le,09:14 | 01/06/2019,5,Sản phẩm tốt !
10313095,nguyenThu,nguyen Thu,16:36 | 27/04/2019,5,
10708237,hien,hiền,20:15 | 28/06/2019,5,đóng góp kĩ. giao hàng nhanh
10708237,PhongAnKy,Phòng An Kỳ,12:11 | 30/03/2019,5,"Sản phẩm/dịch vụ giống mô tả và tốt hơn mong đợi. Chất lượng sản phẩm/dịch vụ rất tốt. Gửi sản phẩm/vé dịch vụ nhanh. Shop tư vấn, hướng dẫn cực kỳ nhiệt tình."
10708237,HoaNguyenThi,Hoa Nguyễn Thị,19:03 | 29/07/2019,5,Sản phẩm/dịch vụ giống mô tả và tốt hơn mong đợi. Gửi sản phẩm/vé dịch vụ nhanh.
