rating,content,class,content_clean,content_clean_pt,length,positive_count,negative_count,class_new
4,Shop phục vụ khá tốt.,1,shop phục vụ khá tốt,cửa_hàng phục_vụ_tốt,20,1,0,1
3,Sản phẩm gần giống mô tả,0,sản phẩm gần giống mô tả,sản_phẩm_gần_giống_mô_tả,24,0,1,0
5,Giao hàng nhanh bất ngờ.,1,giao hàng nhanh bất ngờ,giao_hàng,23,0,0,1
4,Sản phẩm/dịch vụ giống mô tả.,1,sản phẩm dịch vụ giống mô tả,sản_phẩm_dịch_vụ_giống_mô_tả,28,1,0,1
5,"Sản phẩm/dịch vụ giống mô tả và tốt hơn mong đợi. Chất lượng sản phẩm/dịch vụ rất tốt. Gửi sản phẩm/vé dịch vụ nhanh. Shop tư vấn, hướng dẫn cực kỳ nhiệt tình.",1,sản phẩm dịch vụ giống mô tả và tốt hơn mong đợi chất lượng sản phẩm dịch vụ rất tốt gửi sản phẩm vé dịch vụ nhanh shop tư vấn hướng dẫn cực kỳ nhiệt tình,sản_phẩm_dịch_vụ_giống_mô_tả tốt_hơn_mong_đợi chất_lượng sản_phẩm_dịch_vụ_rất_tốt gửi_sản_phẩm vé_dịch_vụ cửa_hàng tư_vấn hướng_dẫn_nhiệt_tình,154,4,0,1
5,"Shop tư vấn, hướng dẫn cực kỳ nhiệt tình.",1,shop tư vấn hướng dẫn cực kỳ nhiệt tình,cửa_hàng tư_vấn hướng_dẫn_nhiệt_tình,39,1,0,1
5,Sản phẩm tốt vượt mong đợi,1,sản phẩm tốt vượt mong đợi,sản_phẩm_tốt mong_đợi,26,1,0,1
4,Sản phẩm đúng mô tả,1,sản phẩm đúng mô tả,sản_phẩm_đúng_mô_tả,19,1,0,1
5,Hài lòng,1,hài lòng,hài_lòng,8,0,0,1
5,sản phẩm giao hàng nhanh chóng. đóng gói chưa đc kĩ. giá cả tốt. sẽ ủng hộ lần sau,1,sản phẩm giao hàng nhanh chóng đóng gói chưa đc kĩ giá cả tốt sẽ ủng hộ lần sau,sản_phẩm giao_hàng_nhanh_chóng đóng_gói_chưa_được kĩ_giá_cả tốt ủng_hộ,81,2,0,1
5,"Chuyên nghiệp, thân thiện. Đóng gói kỹ lưỡng. Chất lượng tuyệt vời. Giá tốt. Giao hàng nhanh bất ngờ.",1,chuyên nghiệp thân thiện đóng gói kỹ lưỡng chất lượng tuyệt vời giá tốt giao hàng nhanh bất ngờ,chuyên_nghiệp thân_thiện đóng_gói_kỹ_lưỡng chất_lượng_tuyệt_vời giá_tốt giao_hàng,95,5,0,1
5,Sản phẩm/dịch vụ giống mô tả và tốt hơn mong đợi.,1,sản phẩm dịch vụ giống mô tả và tốt hơn mong đợi,sản_phẩm_dịch_vụ_giống_mô_tả tốt_hơn_mong_đợi,48,2,0,1
5,Chất lượng tuyệt vời.,1,chất lượng tuyệt vời,chất_lượng_tuyệt_vời,20,1,0,1
